,Phone name,Phone price,Phone rating,Phone stars
1,"REDMI Note 10 Pro (Glacial Blue, 128 GB)","Rs.¹20,899","2,452 Ratings& 194 Reviews",4.3
2,"REDMI Note 10 Pro (Vintage Bronze, 64 GB)","Rs.¹17,999","14,966 Ratings& 1,407 Reviews",4.3
3,"REDMI 9 Prime (Matte Black, 64 GB)","Rs.¹9,990","2,21,625 Ratings& 15,114 Reviews",4.4
4,"REDMI Note 10 Lite (Interstellar Black, 128 GB)","Rs.¹15,990","1,901 Ratings& 148 Reviews",4.3
5,"REDMI 9 Power (Fiery Red, 128 GB)","Rs.¹13,499","47,332 Ratings& 3,682 Reviews",4.3
6,"REDMI Note 10 Pro (Glacial Blue, 64 GB)","Rs.¹17,999","14,966 Ratings& 1,407 Reviews",4.3
7,"REDMI Note 10 Pro (Dark Night, 64 GB)","Rs.¹17,999","14,966 Ratings& 1,407 Reviews",4.3
8,"REDMI 9 Power (Blazing Blue, 128 GB)","Rs.¹15,990","2,36,524 Ratings& 16,883 Reviews",4.3
9,"REDMI Note 10 Pro (Dark Night, 128 GB)","Rs.¹18,990","2,452 Ratings& 194 Reviews",4.3
10,"REDMI 10 Prime (Phantom Black, 64 GB)","Rs.¹11,949","5,220 Ratings& 397 Reviews",4.2
11,"REDMI Note 9 (Arctic White, 128 GB)","Rs.¹16,490","1,20,965 Ratings& 9,354 Reviews",4.3
12,"REDMI 9 Power (Fiery Red, 64 GB)","Rs.¹13,499","2,36,524 Ratings& 16,883 Reviews",4.3
13,"REDMI Note 8 Pro (Halo White, 128 GB)","Rs.¹19,949","12,773 Ratings& 1,084 Reviews",4.4
14,"REDMI Note 10 (Shadow Black, 128 GB)","Rs.¹16,969","7,171 Ratings& 518 Reviews",4.3
15,"REDMI Note 10 Pro Max (Vintage Bronze, 128 GB)","Rs.¹23,890","1,780 Ratings& 136 Reviews",4.3
16,"REDMI Note 8 Pro (Electric Blue, 128 GB)","Rs.¹19,949","12,773 Ratings& 1,084 Reviews",4.4
17,"REDMI Note 9 (Pebble Grey, 64 GB)","Rs.¹13,890","1,20,965 Ratings& 9,354 Reviews",4.3
18,"REDMI Note 8 Pro (Halo White, 64 GB)","Rs.¹16,999","83,487 Ratings& 7,084 Reviews",4.5
19,"REDMI 10 Prime (Astral White, 128 GB)","Rs.¹14,199","3,199 Ratings& 251 Reviews",4.2
20,"REDMI Note 10 Pro Max (Glacial Blue, 128 GB)","Rs.¹23,890","1,780 Ratings& 136 Reviews",4.3
21,"REDMI Note 10 Pro Max (Dark Night, 128 GB)","Rs.¹19,290","7,707 Ratings& 633 Reviews",4.2
22,"REDMI 10 Prime 2022 (Astral White, 64 GB)","Rs.¹13,499",7 Ratings& 0 Reviews,4.4
